temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.4,59.9,634,0,0.8533333333333334,2,0.9899999999999999,2,0.21333333333333335,2.8234042553191485
4.4,59.9,629,0,0.8533333333333334,2,0.9899999999999999,2,0.28,2.5999999999999996
4.4,59.9,631,0,0.8533333333333334,2,0.9899999999999999,2,0.25333333333333335,2.6628742514970054
4.4,60.0,631,0,0.8533333333333334,2,1.0,2,0.25333333333333335,2.6628742514970054
4.4,59.9,628,0,0.8533333333333334,2,0.9899999999999999,2,0.29333333333333333,2.5999999999999996
4.4,59.9,631,0,0.8533333333333334,2,0.9899999999999999,2,0.25333333333333335,2.6628742514970054
4.4,59.9,639,0,0.8533333333333334,2,0.9899999999999999,3,0.225,3.0237668161434974
4.4,59.9,635,0,0.8533333333333334,2,0.9899999999999999,2,0.2,2.8692307692307693
4.4,60.0,630,0,0.8533333333333334,2,1.0,2,0.26666666666666666,2.5999999999999996
4.4,59.9,630,0,0.8533333333333334,2,0.9899999999999999,2,0.26666666666666666,2.5999999999999996
4.4,59.9,626,0,0.8533333333333334,2,0.9899999999999999,2,0.32,2.5999999999999996
4.4,59.9,632,0,0.8533333333333334,2,0.9899999999999999,2,0.24,2.720689655172414
4.4,60.0,645,0,0.8533333333333334,2,1.0,3,0.375,3.1943396226415093
4.4,60.0,626,0,0.8533333333333334,2,1.0,2,0.32,2.5999999999999996
4.4,59.9,638,0,0.8533333333333334,2,0.9899999999999999,3,0.2,2.988888888888889
4.4,59.9,628,0,0.8533333333333334,2,0.9899999999999999,2,0.29333333333333333,2.5999999999999996
4.4,59.9,629,0,0.8533333333333334,2,0.9899999999999999,2,0.28,2.5999999999999996
4.4,59.9,635,0,0.8533333333333334,2,0.9899999999999999,2,0.2,2.8692307692307693
4.4,60.0,630,0,0.8533333333333334,2,1.0,2,0.26666666666666666,2.5999999999999996
4.4,60.0,636,0,0.8533333333333334,2,1.0,2,0.18666666666666668,2.911881188118812
4.4,60.0,637,0,0.8533333333333334,2,1.0,3,0.175,2.9516746411483252
4.4,60.0,633,0,0.8533333333333334,2,1.0,2,0.22666666666666666,2.7740331491712706
4.4,60.0,630,0,0.8533333333333334,2,1.0,2,0.26666666666666666,2.5999999999999996
4.4,60.0,627,0,0.8533333333333334,2,1.0,2,0.30666666666666664,2.5999999999999996
4.4,60.0,645,0,0.8533333333333334,2,1.0,3,0.375,3.1943396226415093
4.4,60.0,640,0,0.8533333333333334,2,1.0,3,0.25,3.0565217391304347
4.4,60.0,637,0,0.8533333333333334,2,1.0,3,0.175,2.9516746411483252
4.4,60.0,630,0,0.8533333333333334,2,1.0,2,0.26666666666666666,2.5999999999999996
4.4,60.0,637,0,0.8533333333333334,2,1.0,3,0.175,2.9516746411483252
4.4,60.0,633,0,0.8533333333333334,2,1.0,2,0.22666666666666666,2.7740331491712706
4.4,60.1,640,0,0.8533333333333334,2,0.9799999999999998,3,0.25,3.0555116381203336
4.4,60.1,637,0,0.8533333333333334,2,0.9799999999999998,3,0.175,2.950664540138224
4.4,60.1,633,0,0.8533333333333334,2,0.9799999999999998,2,0.22666666666666666,2.7730230481611695
4.4,60.1,634,0,0.8533333333333334,2,0.9799999999999998,2,0.21333333333333335,2.8223941543090474
4.4,60.1,636,0,0.8533333333333334,2,0.9799999999999998,2,0.18666666666666668,2.9108710871087107
4.4,60.1,635,0,0.8533333333333334,2,0.9799999999999998,2,0.2,2.868220668220668
4.4,60.1,631,0,0.8533333333333334,2,0.9799999999999998,2,0.25333333333333335,2.6618641504869043
4.4,60.1,640,0,0.8533333333333334,2,0.9799999999999998,3,0.25,3.0555116381203336
4.4,60.1,629,0,0.8533333333333334,2,0.9799999999999998,2,0.28,2.5989898989898985
4.4,60.1,638,0,0.8533333333333334,2,0.9799999999999998,3,0.2,2.987878787878788
4.4,60.1,633,0,0.8533333333333334,2,0.9799999999999998,2,0.22666666666666666,2.7730230481611695
4.4,60.1,637,0,0.8533333333333334,2,0.9799999999999998,3,0.175,2.950664540138224
4.4,60.1,631,0,0.8533333333333334,2,0.9799999999999998,2,0.25333333333333335,2.6618641504869043
4.4,60.2,633,0,0.8533333333333334,2,0.9599999999999994,2,0.22666666666666666,2.7719923328447402
4.4,60.2,638,0,0.8533333333333334,2,0.9599999999999994,3,0.2,2.986848072562358
4.4,60.1,633,0,0.8533333333333334,2,0.9799999999999998,2,0.22666666666666666,2.7730230481611695
4.4,60.2,639,0,0.8533333333333334,2,0.9599999999999994,3,0.225,3.021725999816967
4.4,60.2,634,0,0.8533333333333334,2,0.9599999999999994,2,0.21333333333333335,2.821363438992618
4.4,60.2,631,0,0.8533333333333334,2,0.9599999999999994,2,0.25333333333333335,2.660833435170475
4.4,60.2,629,0,0.8533333333333334,2,0.9599999999999994,2,0.28,2.597959183673469
4.4,60.2,629,0,0.8533333333333334,2,0.9599999999999994,2,0.28,2.597959183673469
4.4,60.2,631,0,0.8533333333333334,2,0.9599999999999994,2,0.25333333333333335,2.660833435170475
4.4,60.2,637,0,0.8533333333333334,2,0.9599999999999994,3,0.175,2.9496338248217944
4.4,60.2,635,0,0.8533333333333334,2,0.9599999999999994,2,0.2,2.867189952904239
4.4,60.2,646,0,0.8533333333333334,2,0.9599999999999994,3,0.4,3.2156062424969987
4.4,60.2,634,0,0.8533333333333334,2,0.9599999999999994,2,0.21333333333333335,2.821363438992618
4.4,60.2,638,0,0.8533333333333334,2,0.9599999999999994,3,0.2,2.986848072562358
