READING DURNG FIRE RAMPUP
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 574
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 570
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 569
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 572
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 570
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 569
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 584
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 577
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 574
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 567
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 572
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 582
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 575
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 575
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 571
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 571
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 578
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 578
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 576
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 576
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 582
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 585
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 586
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 580
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 584
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 589
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 589
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 594
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 589
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 594
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 603
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 588
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 590
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 592
Temp: 4.3C  Hum: 60.9%
GAS ADC Value: 595
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 584
Temp: 4.3C  Hum: 60.9%
GAS ADC Value: 583
Temp: 4.3C  Hum: 60.9%
GAS ADC Value: 590
Temp: 4.3C  Hum: 60.9%
GAS ADC Value: 594
Temp: 4.3C  Hum: 60.9%
GAS ADC Value: 594
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 595
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 601
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 599
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 609
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 609
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 616
Temp: 4.3C  Hum: 61.0%
GAS ADC Value: 616
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 623
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 622
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 623
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 628
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 627
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 641
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 632
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 630
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 631
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 643
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 632
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 629
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 628
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 632
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 636
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 634
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 628
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 645
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 634
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 636
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 644
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 644
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 642
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 651
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 647
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 646
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 651
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 646
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 647
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 653
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 643
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 641
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 638
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 633
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 638
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 637
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 634
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 637
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 640
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 637
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 643
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 650
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 649
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 642
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 652
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 648
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 648
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 651
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 660
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 652
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 658
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 655
Temp: 4.3C  Hum: 61.3%
GAS ADC Value: 653
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 655
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 660
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 658
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 658
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 659
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 674
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 662
Temp: 4.3C  Hum: 61.3%
GAS ADC Value: 664
